lat,lon,r1h
22.5,136.875,0.14648438
22.5,137.0,0.14648438
22.5,137.125,0.14648438
22.5,137.25,0.14648438
22.5,137.375,0.14648438
22.5,137.5,0.14648438
22.5,137.625,0.14648438
22.5,137.75,0.14648438
22.5,137.875,0.14648438
22.5,138.0,0.14648438
22.5,138.125,0.14648438
22.5,138.25,0.14648438
22.5,138.375,0.14648438
22.5,138.5,0.14648438
22.5,138.625,0.14648438
22.5,138.75,0.14648438
22.5,138.875,0.14648438
22.5,139.0,0.14648438
22.5,139.125,0.14648438
22.5,139.25,0.14648438
22.5,139.375,0.14648438
22.5,139.5,0.14648438
22.5,139.625,0.14648438
22.5,139.75,0.14648438
22.5,139.875,0.14648438
22.5,140.0,0.14648438
22.5,140.125,0.14648438
22.5,140.25,0.14648438
22.5,140.375,0.14648438
22.5,140.5,0.14648438
22.5,140.625,0.14648438
22.5,140.75,0.14648438
22.5,140.875,0.14648438
22.5,141.0,0.14648438
22.5,141.125,0.14648438
22.5,141.25,0.14648438
22.5,141.375,0.14648438
22.5,141.5,0.14648438
22.5,141.625,0.14648438
22.5,141.75,0.14648438
22.5,141.875,0.14648438
22.5,142.0,0.14648438
22.5,142.125,0.14648438
22.5,142.25,0.14648438
22.5,142.375,0.14648438
22.5,142.5,0.14648438
22.5,142.625,0.14648438
22.5,142.75,0.14648438
22.5,142.875,0.14648438
22.5,143.0,0.14648438
22.5,143.125,0.14648438
22.5,143.25,0.14648438
22.5,143.375,0.14648438
22.5,143.5,0.14648438
22.5,143.625,0.14648438
22.5,143.75,0.14648438
22.5,143.875,0.14648438
22.5,144.0,0.14648438
22.5,144.125,0.14648438
22.5,144.25,0.14648438
22.5,144.375,0.14648438
22.5,144.5,0.14648438
22.5,144.625,0.14648438
22.5,144.75,0.14648438
22.5,144.875,0.14648438
22.5,145.0,0.14648438
22.5,145.125,0.14648438
22.5,145.25,0.14648438
22.5,145.375,0.14648438
22.5,145.5,0.14648438
22.5,145.625,0.14648438
22.5,145.75,0.14648438
22.5,145.875,0.14648438
22.5,146.0,0.14648438
22.5,146.125,0.14648438
22.5,146.25,0.14648438
22.5,146.375,0.14648438
22.5,146.5,0.14648438
22.5,146.625,0.14648438
22.5,146.75,0.14648438
22.5,146.875,0.14648438
22.5,147.0,0.14648438
22.5,147.125,0.14648438
22.5,147.25,0.14648438
22.5,147.375,0.14648438
22.5,147.5,0.14648438
22.5,147.625,0.14648438
22.5,147.75,0.14648438
22.5,147.875,0.14648438
22.5,148.0,0.14648438
22.5,148.125,0.14648438
22.5,148.25,0.14648438
22.5,148.375,0.15260315
22.5,148.5,0.15872192
22.5,148.625,0.15872192
22.5,148.75,0.15872192
22.5,148.875,0.1648407
22.5,149.0,0.1648407
22.5,149.125,0.1648407
22.5,149.25,0.1648407
22.5,149.375,0.1648407
22.5,149.5,0.15872192
22.5,149.625,0.15872192
22.5,149.75,0.15872192
22.5,149.875,0.15872192
22.600000381469727,120.0,0.14648438
22.600000381469727,120.125,0.14648438
22.600000381469727,120.25,0.14648438
22.600000381469727,120.375,0.14648438
22.600000381469727,120.5,0.14648438
22.600000381469727,120.625,0.86820984
22.600000381469727,120.75,8.403381
22.600000381469727,120.875,11.002792
22.600000381469727,121.0,0.6480255
22.600000381469727,121.125,0.14648438
22.600000381469727,121.25,0.14648438
22.600000381469727,121.375,0.14648438
22.600000381469727,121.5,0.14648438
22.600000381469727,121.625,0.14648438
22.600000381469727,121.75,0.14648438
22.600000381469727,121.875,0.14648438
22.600000381469727,122.0,0.14648438
22.600000381469727,122.125,0.14648438
22.600000381469727,122.25,0.14648438
22.600000381469727,122.375,0.27493286
22.600000381469727,122.5,1.1190186
22.600000381469727,122.625,2.623581
22.600000381469727,122.75,4.5135345
22.600000381469727,122.875,6.684784
22.600000381469727,123.0,9.804047
22.600000381469727,123.125,13.901901
22.600000381469727,123.25,18.05481
22.600000381469727,123.375,21.119019
22.600000381469727,123.5,21.877472
22.600000381469727,123.625,19.516586
22.600000381469727,123.75,19.143524
22.600000381469727,123.875,20.550262
22.600000381469727,124.0,22.122131
22.600000381469727,124.125,22.238388
22.600000381469727,124.25,20.250595
22.600000381469727,124.375,18.330093
22.600000381469727,124.5,17.590042
22.600000381469727,124.625,16.960022
22.600000381469727,124.75,17.19246
22.600000381469727,124.875,16.923355
22.600000381469727,125.0,16.030426
22.600000381469727,125.125,14.886673
22.600000381469727,125.25,14.427963
22.600000381469727,125.375,15.229172
22.600000381469727,125.5,19.0457
22.600000381469727,125.625,24.617569
22.600000381469727,125.75,31.901947
22.600000381469727,125.875,37.62668
22.600000381469727,126.0,40.152695
22.600000381469727,126.125,39.62062
22.600000381469727,126.25,37.62062
22.600000381469727,126.375,34.709274
22.600000381469727,126.5,31.204681
22.600000381469727,126.625,28.226135
22.600000381469727,126.75,27.057938
22.600000381469727,126.875,28.984558
22.600000381469727,127.0,33.125183
22.600000381469727,127.125,38.77658
22.600000381469727,127.25,44.629807
22.600000381469727,127.375,49.53499
22.600000381469727,127.5,53.04567
22.600000381469727,127.625,55.32094
22.600000381469727,127.75,55.8714
22.600000381469727,127.875,55.094604
22.600000381469727,128.0,51.93866
22.600000381469727,128.125,47.773514
22.600000381469727,128.25,43.72461
22.600000381469727,128.375,40.091522
22.600000381469727,128.5,36.89276
22.600000381469727,128.625,33.87137
22.600000381469727,128.75,31.094604
22.600000381469727,128.875,28.483002
22.600000381469727,129.0,26.067078
22.600000381469727,129.125,23.620605
22.600000381469727,129.25,20.953918
22.600000381469727,129.375,18.122131
22.600000381469727,129.5,15.241379
22.600000381469727,129.625,12.403473
22.600000381469727,129.75,9.908051
22.600000381469727,129.875,7.9814606
22.600000381469727,130.0,6.8682556
22.600000381469727,130.125,6.0364685
22.600000381469727,130.25,5.082367
22.600000381469727,130.375,4.2321777
22.600000381469727,130.5,3.3820343
22.600000381469727,130.625,2.568573
22.600000381469727,130.75,1.8713379
22.600000381469727,130.875,1.3881531
22.600000381469727,131.0,1.0823212
22.600000381469727,131.125,0.87438965
22.600000381469727,131.25,0.7092438
22.600000381469727,131.375,0.5624542
22.600000381469727,131.5,0.4768219
22.600000381469727,131.625,0.38510132
22.600000381469727,131.75,0.33616638
22.600000381469727,131.875,0.31169128
22.600000381469727,132.0,0.2872162
22.600000381469727,132.125,0.2566223
22.600000381469727,132.25,0.2566223
22.600000381469727,132.375,0.23214722
22.600000381469727,132.5,0.22602844
22.600000381469727,132.625,0.21990967
22.600000381469727,132.75,0.20767212
22.600000381469727,132.875,0.20155334
22.600000381469727,133.0,0.1893158
22.600000381469727,133.125,0.17707825
22.600000381469727,133.25,0.15872192
22.600000381469727,133.375,0.15872192
22.600000381469727,133.5,0.15260315
22.600000381469727,133.625,0.15260315
22.600000381469727,133.75,0.14648438
22.600000381469727,133.875,0.14648438
22.600000381469727,134.0,0.14648438
22.600000381469727,134.125,0.14648438
22.600000381469727,134.25,0.14648438
22.600000381469727,134.375,0.14648438
22.600000381469727,134.5,0.14648438
22.600000381469727,134.625,0.14648438
22.600000381469727,134.75,0.14648438
22.600000381469727,134.875,0.14648438
22.600000381469727,135.0,0.14648438
22.600000381469727,135.125,0.14648438
22.600000381469727,135.25,0.14648438
22.600000381469727,135.375,0.14648438
22.600000381469727,135.5,0.14648438
22.600000381469727,135.625,0.14648438
22.600000381469727,135.75,0.14648438
22.600000381469727,135.875,0.14648438
22.600000381469727,136.0,0.14648438
22.600000381469727,136.125,0.14648438
22.600000381469727,136.25,0.14648438
22.600000381469727,136.375,0.14648438
22.600000381469727,136.5,0.14648438
22.600000381469727,136.625,0.14648438
22.600000381469727,136.75,0.14648438
22.600000381469727,136.875,0.14648438
22.600000381469727,137.0,0.14648438
22.600000381469727,137.125,0.14648438
22.600000381469727,137.25,0.14648438
22.600000381469727,137.375,0.14648438
22.600000381469727,137.5,0.14648438
22.600000381469727,137.625,0.14648438
22.600000381469727,137.75,0.14648438
22.600000381469727,137.875,0.14648438
22.600000381469727,138.0,0.14648438
22.600000381469727,138.125,0.14648438
22.600000381469727,138.25,0.14648438
22.600000381469727,138.375,0.14648438
22.600000381469727,138.5,0.14648438
22.600000381469727,138.625,0.14648438
22.600000381469727,138.75,0.14648438
22.600000381469727,138.875,0.14648438
